timestamp_utc,relative_s,channel,direction,id_hex,name,sender,receiver,dlc,bus_type,data_hex
2026-06-18T12:24:11.491Z,0.019839,CAN7,Tx,0x107,DATA_007_WHEEL_SPEED_FL,WHEEL_SPEED_FRONT_LEFT,BRAKE_CONTROLLER,64,fd,4902a2d020d77235b0133f23a4446a34b38a9fe0574845454c5f53504545445f46524f4e545f4c454654202d3e204252414b455f434f4e54524f4c4c45520000
2026-06-18T12:24:11.491Z,0.019862,CAN6,Tx,0x106,DATA_006_IMU_DYNAMICS,IMU_YAW_RATE_SENSOR,ADAS_DOMAIN,64,fd,8f02a2d020d77235b0133f23a4446a34b38a9fe0494d555f5941575f524154455f53454e534f52202d3e20414441535f444f4d41494e00000000000000000000
2026-06-18T12:24:11.491Z,0.020254,CAN8,Tx,0x108,DATA_008_BRAKE_STATUS,BRAKE_CONTROLLER,ADAS_DOMAIN,64,fd,5b01a5f020d99235b1233f24b4446b04b388bfe04252414b455f434f4e54524f4c4c4552202d3e20414441535f444f4d41494e00000000000000000000000000
2026-06-18T12:24:11.491Z,0.020307,CAN9,Tx,0x109,DATA_009_ADAS_MOTION_REQUEST,ADAS_DOMAIN,VEHICLE_MOTION_CONTROLLER,64,fd,7a01a60021d99235b1233f24b4446bf4b288bfe0414441535f444f4d41494e202d3e2056454849434c455f4d4f54494f4e5f434f4e54524f4c4c455200000000
2026-06-18T12:24:11.491Z,0.020484,CAN2,Tx,0x102,DATA_002_RADAR_TARGET_LIST,RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,64,fd,d601a71021daa235b2333f25c4446be4b287cfe052414441525f46524f4e545f4c4f4e475f52414e4745202d3e20414441535f444f4d41494e00000000000000
2026-06-18T12:24:11.491Z,0.020692,CAN8,Rx,0x608,RESP_008_ADAS_DOMAIN_TO_BRAKE_CONTROLLER,ADAS_DOMAIN,BRAKE_CONTROLLER,16,fd,551108894000b60101005b5b2f465d74
2026-06-18T12:24:11.492Z,0.020715,CAN0,Rx,0x600,RESP_000_ADAS_DOMAIN_TO_LIDAR_FRONT,ADAS_DOMAIN,LIDAR_FRONT,16,fd,0211008940003d040100a6a6273e556c
2026-06-18T12:24:11.492Z,0.020753,CAN6,Rx,0x606,RESP_006_ADAS_DOMAIN_TO_IMU_YAW_RATE_SENSOR,ADAS_DOMAIN,IMU_YAW_RATE_SENSOR,16,fd,dd12069140007b0302008f8f40576e85
2026-06-18T12:24:11.492Z,0.021425,CAN7,Rx,0x607,RESP_007_BRAKE_CONTROLLER_TO_WHEEL_SPEED_FRONT_LEFT,BRAKE_CONTROLLER,WHEEL_SPEED_FRONT_LEFT,16,fd,93120791400032060200494941586f86
2026-06-18T12:24:11.492Z,0.021597,CAN9,Rx,0x609,RESP_009_VEHICLE_MOTION_CONTROLLER_TO_ADAS_DOMAIN,VEHICLE_MOTION_CONTROLLER,ADAS_DOMAIN,16,fd,3911098940000a0501007a7a30475e75
2026-06-18T12:24:11.493Z,0.021932,CAN2,Rx,0x602,RESP_002_ADAS_DOMAIN_TO_RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,RADAR_FRONT_LONG_RANGE,16,fd,881102894000a8050100d6d62940576e
2026-06-18T12:24:11.494Z,0.023172,CAN1,Tx,0x500,GW_DATA_000_LIDAR_OBJECT_LIST,LIDAR_FRONT,ADAS_DOMAIN,64,fd,a681a0c020d66235af133f22a4446a54b38c8fe04c494441525f46524f4e54202d3e20414441535f444f4d41494e000000000000000000000000000000000000
